Number;Start time in milliseconds;End time in milliseconds;Text
167;715900;718880;"where'd that come from you talkin' about the future"
168;718880;720370;"mh hm."
169;720660;725950;"i dunno. i think i'll probably just end up livin' in this town y'know. same as ever."
170;741880;743940;"i wanna do what you're doin'."
171;743940;746850;"it's still too soon for you to try yotsuha."
172;746850;749380;"listen to the thread's voice."
173;749380;755880;"when you twine it round and round like this feelings will start flowing between you and the thread."
174;756710;760950;"it's not like threads talk she's telling you to focus."
175;760950;766570;"etched within our braided cords is a thousand years' worth of itomori's history."
176;766570;770620;"listen. somethin' happened two hundred years ago"
177;770620;772040;"here she goes."
178;772040;779170;"the bathroom of sandal maker mayugoro yamazaki caught on fire and this whole area burned down."
179;779270;782650;"the shrine and old documents were destroyed."
180;782840;786070;"this is known as mayugoro's great fire."
181;786320;790600;"they named the fire after him i feel bad for mayugoro."
182;791390;795150;"the meaning behind our festivals was lost because of that."
183;795150;797740;"only the surface was left."
184;797740;802040;"but even if those words are gone those words shouldn't fade."
185;802040;806530;"that's the miyamizu shrine's duty. our important task."
186;807220;808830;"ugh"
187;808830;812660;"despite all that that son in law of mine"
188;812660;818360;"abandoning the shinto priesthood and leaving this house were bad enough but politics"
189;818360;821010;"oh he's hopeless"
190;821460;823540;"have another mister foreman."
191;826570;830390;"i'll be counting on your help again for this election. leave it to me."
192;830390;834320;"you'll get the votes from the kadoiri and sakagami districts guaranteed."
193;834320;837960;"how's the datin' scene it ain't easy that's for sure."
194;839350;843520;"smells like corruption in there. what are you talkin' about"
195;844000;847280;"we're gonna need two or three more bottles. yes dear."
196;847280;850310;"katsuhiko you're gonna help out at the site this weekend."
197;850310;853520;"we'll be usin' explosives so you better study up. grngh."
198;853520;854580;"what was that"
199;854580;856580;"got it"
200;869280;871930;"guess we both can't stand things here."
201;890460;893180;"is that yotsuha she's all grown up."
202;893180;895900;"they're lookers alright. just like their mother."
203;897550;900520;"heya hey."
204;932330;934700;"world's oldest kind of sake"
205;934700;940660;"but chewin' on rice spittin' it out and then lettin' it ferment naturally it becomes alcohol."
206;940660;942660;"kuchikamizake."
207;942790;945720;"do the gods really appreciate that. the way it's ma "
208;945720;947910;"yeah of course they do"
209;949660;953010;"hey check it out. it's miyamizu."
210;957500;964030;"ugh i'd never do that and in front of everybody embarrassing right"
211;977550;979870;"you should try to cheer up sis."
212;980040;983010;"who cares if a few of the kids from your school saw that"
213;983010;985940;"it must be nice for you not being a teenager."
214;986410;991000;"hey i know you should just sell kuchikamizake and move to tokyo"
215;991000;995860;"i bet you could sell it with all sorts of stuff like photos and making of videos."
216;995860;1001910;"oh and then you can call it shrine maiden's sake you'll make buttloads"
218;1004600;1008280;"i can't there are liquor laws"
219;1008280;1010470;"that's what you have a problem with"
220;1016430;1021320;"i hate this town i hate this life too"
221;1021320;1028690;"please make me a handsome tokyo boy in my next life"
222;1030140;1032770;"what a jackass."
223;1060320;1061820;"ow"
224;1074290;1075480;"where"
225;1076150;1077260;"huh"
226;1083520;1084840;"hmm"
227;1086610;1089020;"something's there"
228;1093900;1095040;"aaaah"
229;1102810;1103810;"eh"
230;1103880;1105840;"taki' taki you up"
231;1107940;1111780;"it was your turn to cook breakfast wasn't it did you sleep in"
232;1111950;1113690;"i'm sorry."
233;1114020;1116040;"ugh i'm heading out."
234;1116040;1119110;"finish the miso. uh okay"
235;1119110;1122640;"make sure you go to school even if you're late. seeya."
236;1123280;1125550;"h have a nice day."
237;1136140;1137860;"what a strange dream"
239;1143140;1146080;"huh it's from tsukasa"
240;1146580;1148990;"who's that hrm."
241;1153780;1155160;"uhhh"
242;1157280;1159660;"i gotta go pee."
243;1168160;1170430;"way too real"
245;1240840;1243750;"i'm in tokyo"
247;1250060;1251840;"where did you get this daikanyama."
248;1251840;1253360;"guess who's opening at our next gig"
249;1253360;1257180;"w wait wait we have a gig hey let's skip club stuff today and catch a movie."
250;1259790;1260850;"uh"
251;1261690;1263710;"taaaki"
252;1264540;1267660;"can't believe you got in at noon. come on let's grab lunch"
253;1268780;1271250;"you ignored my text too"
254;1271250;1275380;"mr. tsukasa. mister you don't have to go that far."
255;1276690;1278870;"you got lost yeah."
256;1278900;1283030;"wait a second. how'd you wind up getting lost on the way to school"
257;1283030;1284110;"uh"
258;1284110;1286900;"well a girl a girl"
259;1286900;1287870;"a gal "
260;1287870;1288600;"hm hm"
261;1288600;1289500;"i mean"
262;1289500;1290390;"huh huh"
263;1290390;1291400;"a guy"
264;1293320;1299830;"y'know guys just wanna have fun. every day's a festival when you're living in tokyo as a guy."
265;1299830;1302160;"hey you sound funny."
266;1302170;1304260;"and where's your lunch"
267;1304260;1306950;"seriously what is up with you"
268;1306950;1310370;"we could share somethin'. let's make a croquette egg sandwich."
269;1310460;1312310;"yes hahahaha"
270;1312930;1314730;"ah"
271;1314730;1316410;"thank you"
272;1317810;1321190;"wanna hit the cafe later oh that one sure."
273;1321190;1322000;"you in taki"
274;1322000;1325080;"what what what"
275;1325080;1326360;"a cafe"
276;1329510;1333580;"they've got nice timberwork in here. yeah it's pretty intricate."
277;1333950;1335720;"taki all set"
278;1335720;1337630;"uh "
279;1337630;1340860;"i could live for a whole month on what these pancakes cost"
280;1341450;1343900;"uh maybe a decade ago."
281;1343900;1345850;"hmmm"
282;1345850;1348380;"oh well it's only a dream"
283;1354510;1356880;"dreams are great"
284;1357020;1359020;"huh"
285;1361560;1364970;"wha oh no i think that i'm late for work."
286;1365160;1368260;"you got a shift today guess you better get goin'."
287;1368260;1370460;"right."
288;1371110;1373710;"sorry but uh"
289;1373710;1376470;"where exactly do i work"
290;1376470;1377910;"wha wha"
291;1383940;1388430;"tables six seven and ten are waiting table twelve taki"
292;1388430;1389490;"got it"
293;1389700;1391020;"here you go."
294;1391020;1394250;"so the zucchini and tomato salad with a side of"
295;1394350;1395590;"we didn't order that wha"
296;1395590;1400320;"taki i told you that we are out of truffles taki you gotta talk louder"
297;1400320;1401500;"taki"
298;1402610;1404940;"when is this nightmare gonna be over"
299;1413260;1414500;"waiter."
300;1414780;1418080;"hey you. uh yes"
301;1418880;1422420;"see this does it look right a toothpick's in it."
302;1422730;1425420;"what would have happened if we ate it"
303;1425710;1428370;"it's really lucky i noticed when i did."
304;1428940;1432790;"do something. uh it's just that"
305;1432850;1436770;"well i don't even think we have toothpicks at this "
306;1436770;1438820;"what"
307;1438820;1442450;"excuse me. is everything alright over here"
308;1442450;1445760;"well like i was trying to tell the guy i'll take care of this."
309;1446250;1448420;"what's wrong with you today"
310;1449300;1452690;"we truly apologize. your meal is on the house tonight."
311;1452690;1453840;"why thank you."
312;1454030;1456490;"you weren't hurt were you"
313;1466660;1470710;"uh oku dera that's miss to you."
314;1470990;1474740;"miss okudera. about before we just had some bad luck is all."
315;1474740;1478260;"no i i those guys were definitely scamming us."
316;1478260;1481330;"i handled it according to the manual but still"
317;1481660;1484570;"uh ms. okudera your skirt"
318;1485800;1488000;"are you alright did something happen"
319;1488000;1489920;"looks like someone cut it."
320;1489920;1491910;"that guy"
321;1492340;1494910;"do you remember what he looked like no"
322;1494980;1498750;"come with me. hey taki."
323;1499390;1500730;"okay take off your skirt."
324;1500730;1501590;"what"
325;1501590;1503360;"n wh i'll i'll look the other way"
326;1507830;1509850;"hold on this won't take long."
327;1514090;1516520;"all done ta da"
328;1516840;1520510;"you're really good taki it's way cuter now"
329;1521770;1526620;"by the way i wanted to thank you for all your help with that customer earlier."
330;1527130;1531000;"to be honest well i was worried about you."
331;1531000;1535000;"you aren't that strong but you're quick to pick a fight."
332;1535000;1537040;"i like you better today."
333;1537280;1540720;"you've got a feminine side. who woulda guessed"
335;1551390;1555220;"i gotta say this dream sure does seem real."
336;1559290;1562080;"ah looks like he keeps a journal."
337;1566290;1567990;"so organized."
338;1568590;1571490;"i wish i lived in tokyo."
339;1574890;1576670;"one of her."
340;1581280;1583830;"unrequited love"
344;1626940;1629380;"what is this"
346;1632520;1633810;"wha"
347;1633810;1635300;"what"
349;1635300;1637200;"what is going on"
350;1638590;1640140;"so cafe today"
351;1640200;1642530;"thanks but i gotta go to work."
352;1642530;1644700;"ha do you remember where to go"
353;1644700;1646680;"huhah"
354;1646680;1650740;"wait a second. was that you tsukasa are you the one that's been messing with my phone"
355;1650790;1653370;"uh never mind."
356;1653690;1655120;"later."
357;1655120;1657720;"well he's back to normal."
358;1657720;1660440;"i think he was kinda cute yesterday."
359;1660440;1662420;"uhhhhh."
360;1664050;1666160;"uh what's up"
361;1666160;1668480;"don't play dumb. what about bro code huh"
362;1668480;1671420;"yeah you walked home with her yesterday right"
363;1671940;1675630;"uh what are you talking about me and ms. okudera"
364;1675630;1677310;"so what did you guys do so what did you guys do so what did you guys do"
365;1677310;1680630;"uh well i don't remember actually."
366;1680630;1682610;"quit messin' around and tell us"
367;1682610;1685540;"okudera reporting for duty"
368;1685990;1691400;"don't slack off today you guys. we're gonna have a good day today. yeah"
369;1691400;1693780;"aren't we taki"
370;1701370;1702900;"hmmm"
372;1706930;1709900;"i see you're not touching your boobies today."
373;1709900;1712980;"breakfast time hurry up"
374;1715820;1717050;"my boobs"
375;1719510;1721640;"mornin'"
376;1726650;1730220;"i feel like everyone's starin' at me for some reason."
377;1730460;1734680;"well you did kinda make a scene yesterday. uh"
379;1736210;1738320;"did you see all the election posters"
380;1738320;1741490;"doesn't matter who wins nothin'll change 'cept for who gets the kickback."
381;1741490;1746010;"shhh somebody's daddy's dependent on it."
382;1746200;1748080;"they're talking about me right"
383;1748080;1750460;"uh  "
384;1750760;1752740;"wait mitsuha"
385;1762210;1765020;"i i"
386;1765470;1767220;"i did what"
387;1769380;1771220;"mitsuha"
389;1777860;1780730;"could this could this mean "
390;1780730;1785030;"no no no no could this mean that we're really "
391;1785480;1788400;"that we're in our dreams that guy and i "
392;1788400;1791430;"that we're in our dreams that girl and i "
395;1792290;1793540;"we're switching places we're switching places"
396;1808380;1813140;"at last hello you've opened your eyes"
397;1813140;1818690;"but why won't you even look me in the eyes what's wrong with you"
398;1818690;1823250;"you angrily tell me that i'm late."
399;1823250;1827990;"well i'm sorry but i did my best and running at my fastest pace"
400;1827990;1830740;"i'm slowly beginning to realize what's going on."
401;1830850;1834200;"taki's in high school and living in tokyo."
402;1834860;1840490;"two or three times a week i'll suddenly and randomly switch with mitsuha who's somewhere out in the boonies."
403;1840500;1844540;"the trigger is sleep. the cause is unknown."
405;1844580;1849390;"any memories i have of the switch get more and more hazy after i wake up."
406;1849390;1852450;"but there's no doubt that we're switching places."
407;1852450;1855150;"the reactions of everyone around us prove it."
408;1855150;1856620;"and that's why"
409;1856620;1861730;"that's why we decided to lay out some ground rules so we could protect each other's way of life."
412;1861730;1866530;"things to watch out for during the switches and a list of stuff we should never do."
414;1866600;1871160;"we also agreed to leave each other reports on our phones on the days we switch places"
415;1871160;1875560;"so that we can work together to get through this weird thing that's happening."
416;1876160;1877570;"and yet"
417;1877630;1879030;"and yet"
418;1879430;1881520;"i cannot believe this guy i cannot believe this girl"
419;1881520;1884100;"back in the zenzenzense 'til this day"
420;1884100;1886100;"been looking everywhere for you."
421;1886100;1888590;"i followed the sound of your innocent laughter"
422;1888590;1891690;"and it guided me in the right way."
423;1891690;1894210;"even if every piece of you disappeared"
424;1894210;1896450;"and if it scattered everywhere"
425;1896450;1899110;"guys will stare. watch the skirt"
426;1899110;1901810;"these are basics for a girl"
428;1904250;1909410;"it's goin' in your body. plus i also worked for that money."
430;1909410;1911070;"braiding cords is impossible"
431;1911070;1914660;"'cause you keep wasting money"
432;1914660;1919210;"i wonder if we can push our way through"
433;1919210;1924910;"the countless barrier that's waiting in the future just beyond our view."
434;1924910;1929420;"side by side no way we can lose."
435;1929420;1934520;"we'll beat destiny at its own game and make it follow our own rules."
436;1935040;1939700;"had tea with ms. okudera on the way home. you two have a good thing going"
437;1939700;1943210;"quit messing with my relationships mitsuha"
438;1943210;1946850;"hey taki why is a girl confessing her love to me"
439;1946850;1949350;"maybe you're just more popular when i'm you."
440;1949350;1952490;"you're so full of yourself like you have a girlfriend"
442;1952490;1953970;"it's not like you have anyone either"
443;1953970;1955720;"i don't i don't"
446;1955720;1957870;"because i don't want a relationship because i don't want a relationship"
447;1979500;1982210;"i shouldn't for her sake."
448;1985390;1987710;"you sure do like your own boobies."
449;1987970;1991960;"time to go get ready"
450;1993000;1999810;"over the course of the last few days the tiamat comet has been visible but when and where can people see it"
452;1999930;2006980;"from east to west from our point of view."
453;2007450;2010310;"why are you wearin' your uniform"
454;2017900;2023370;"grandma why does our shrine god's relic have to be kept so far away"
455;2023370;2026830;"'cause of mayugoro i don't really know."
456;2026830;2030420;"who's mayugoro what he's famous"
457;2038150;2040340;"hop on grandma."
458;2044570;2046780;"oh watch out careful"
459;2057740;2062070;"mitsuha. yotsuha. do you know about musubi"
460;2062070;2063200;"mu subi"
461;2063200;2069060;"it's what we used to call the local guardian deity long ago and it means union."
462;2069060;2072300;"this word has profound meaning."
463;2072300;2080300;"tying strings together is a union connecting to people is a union and the flow of time is a union."
464;2080870;2087710;"these are all part of the god's power. the braided cords that we make are tied to that."
465;2087710;2093270;"a skill from the god they represent the flow of time itself."
466;2093970;2101940;"they assemble and take shape. they twist tangle unravel now and then break"
467;2101940;2104050;"and reconnect."
468;2104230;2108240;"that's what a union is. what time is."
469;2111310;2114080;"have a drink. thanks."
470;2114560;2119100;"i want some too that's also a union."
471;2119650;2126310;"whether it's water rice or sake when something becomes a part of a person it's a union."
472;2126310;2132960;"it joins their soul which is why the offering we're making today is such an important custom."
473;2132960;2136350;"it connects the god with people."
474;2137990;2140110;"hey i can see it"
475;2142990;2148980;"this is where it is. the sacred relic of miyamizu shrine."
476;2164220;2170490;"what lies ahead is the hereafter. it's the netherworld."
477;2171780;2174360;"the netherworld"
478;2175950;2183170;"in order to return to this world you have to leave behind what is most important to you."
479;2185160;2188380;"like the kuchikamizake."
480;2188400;2190230;"kuchikamizake"
481;2190230;2197160;"you'll offer it at the foot of the shrine god's relic. after all it is half of you."
482;2198830;2201670;"half of mitsuha."
483;2218970;2222010;"wow it's already magic hour"
484;2222090;2224010;"magic hour"
485;2233870;2239730;"oh yeah maybe i can see the comet huh the comet"
486;2240320;2243490;"oh mitsuha"
487;2243490;2246990;"you're dreaming right now aren't you"
488;2258050;2260950;"i'm crying but why"
490;2266130;2269820;"ms. okudera she's almost where"
491;2271150;2274160;"oh mitsuha. what did you do"
492;2274390;2275480;"date"
495;2290480;2294020;"well that's what i had planned but"
496;2307260;2309790;"hi taki. huh agh"
497;2310610;2315620;"wait long yeah. aah no uh"
498;2323860;2328110;"i just got here. thank goodness. let's go"
499;2329690;2334090;"must be nice. they've probably met up about now."
500;2337520;2339880;"huh"
501;2342230;2344740;"why am i"
502;2345020;2347070;"why"
503;2352400;2359700;"it was a date i wanted to go on but if it so happens that you end up goin' you better be grateful and enjoy it"
504;2360380;2367780;"this is nice it's my first time here. so is this one of your usual go to spots"
505;2364990;2370270;"at any rate i bet you've never even been on a single date."
506;2367780;2370270;"no way it's too expensive"
507;2371250;2373230;"i don't know what to say to her."
508;2373230;2377900;"that's why i've handpicked some links below to help you out ya wallflower"
509;2377900;2378940;"for real"
512;2386230;2388370;"she's making fun of me"
514;2417170;2418960;"you know something taki"
515;2419530;2424230;"today you're you're like a different person."
516;2432450;2437810;"ms. okudera. you getting hungry we could get dinner."
517;2438090;2443630;"uh let's call it a day. u uh alright."
518;2444060;2448470;"i could be wrong and i'm sorry if i am about"
519;2448590;2452410;"but you used to have a little crush on me am i right"
520;2453710;2457070;"but right now there's someone else you like huh"
521;2457130;2461760;"n n no u uh it's not that really"
522;2461760;2466190;"there's no one. it's not like that. are you sure about that"
523;2467340;2471040;"well thanks for today. see you at work"
524;2485740;2487750;"by the time the date's over"
526;2494020;2497710;"what does she mean weirdo."
527;2525090;2526130;"oh."
528;2526130;2527820;"it's you teshi."
529;2528280;2532520;"no. i just didn't feel like goin' that's all. i'm fine."
530;2533490;2536610;"what the festival"
531;2536610;2538440;"ah"
532;2538440;2543250;"oh yeah the comet. it'll be at its brightest today right"
533;2543550;2546490;"okay got it. seeya later"
534;2550030;2553600;"you're just looking forward to seeing mitsuha in a yukata aren'tcha"
535;2553600;2555340;"i i am not"
536;2555340;2557340;"i mean it didn't even cross my mind."
537;2558380;2563730;"y'know she sounded kinda down when i talked to her. maybe she just didn't want a call from ya."
538;2563730;2565120;"it's not funny"
539;2565120;2567450;"sorry to keep ya. oh she's here you're late"
540;2570060;2574110;"mitsuha what happened to  "
541;2574110;2576070;"your hair"
542;2576070;2579200;"i guess it's weird."
543;2587710;2591120;"you think it's gotta do with some guy. like he broke her heart"
544;2591120;2594480;"guys always just assume that it has to do with a boy."
545;2594480;2601370;"she said she felt like cuttin' it. ya sure about that you really think she felt like cuttin' off that much of it"
546;2601370;2604750;"hey guys i can see it"
547;2621750;2625400;"whoa ho ho whoa ah."
548;2629370;2631590;"huh"
549;2642160;2647780;"the number you are trying to reach is currently outside the cellular network or has been turned off due "
550;2650410;2655320;"i'll just have to tell her how lousy the date ended up the next time we switch."
551;2655320;2657630;"that's what i thought."
552;2657630;2660430;"but for some reason"
553;2660430;2664630;"the switches mitsuha and i had been going through until now"
554;2664630;2668400;"they never happened again."
557;2779270;2780560;"wha "
558;2780560;2781940;"what are "
559;2781940;2784530;"what are you doing here"
560;2786690;2789580;"tsukasa told me about it so here i am."
561;2792790;2797900;"to cover my shift and to back up my alibi if my dad asked."
562;2797900;2799980;"relax takagi's gonna take your shift."
563;2799980;2801400;"gotch'a covered"
564;2801400;2803350;"but you owe me dinner."
565;2803510;2806600;"so you're all in on it you've got everyone worried about you."
566;2806600;2810700;"huh we can't ignore this what if somebody's trying to pull one over on you"
567;2810700;2811850;"like catfish"
568;2812030;2814330;"i mean you met this person online didn't you"
569;2814330;2816800;"no not exactly it's kinda complicated."
570;2816800;2818860;"could be from a dating site she's not"
571;2819540;2823610;"it's because you've been acting awfully fishy lately so we're keeping an eye on you."
572;2823620;2825320;"i don't need a babysitter okay"
573;2827860;2832980;"the switches stopped my calls never connected and texts never went through."
574;2833160;2837690;"that's why i decided to go see mitsuha in person."
575;2837690;2840680;"i wanted to see her but"
576;2842400;2847730;"what you don't know where she is exactly the town's landscape is your only clue"
577;2847900;2849740;"yeah."
578;2851530;2855410;"and you can't contact her what's that about"
579;2855620;2858990;"where are we you're a terrible tour guide 'cause i'm not one"
580;2859530;2862570;"oh well. guess we'll help you search."
581;2862570;2867230;"aww it's so cute look taki seriously guys"
582;2867230;2869600;"it moved awww"
583;2898310;2899410;"this is a lost cause."
584;2899410;2900530;"what what"
585;2900530;2903500;"after everything that we've done for you today"
586;2906010;2908650;"you haven't done anything"
587;2911780;2914980;"one takayama ramen. one takayama ramen."
588;2914980;2916500;"i guess i'll have the same."
589;2916500;2917840;"sure."
590;2917840;2920310;"three orders of ramen. got it."
591;2922200;2926410;"think we can make it back to tokyo tonight well i think we'll be cuttin' it close."
592;2926410;2927540;"let me take a look."
593;2927540;2931180;"k thanks. wait taki. you sure about that"
594;2932980;2938030;"yeah. i kinda feel like maybe i've been barking up the wrong tree this whole time."
595;2942020;2945190;"hey that's a sketch of itomori isn't it"
596;2946830;2948690;"it's drawn really well."
597;2948690;2951070;"come take a look at this hon"
598;2951860;2955040;"yeah that's itomori. takes me back."
599;2955040;2957630;"my husband was born and raised there you know."
600;2957820;2959970;"itomori"
601;2961050;2965630;"yes of course that's the place it's nearby right"
602;2965780;2967140;"you don't"
603;2967140;2969050;"itomori was"
604;2969050;2970990;"itomori "
605;2970990;2974640;"but that's where wait isn't that the area where that comet "
606;2975220;2976840;"huh"
608;3024000;3025150;"hey"
609;3025150;3027280;"is this place really where she's from"
610;3027280;3031190;"no way. taki must have just confused this with somewhere else."
611;3031190;3033300;"no i didn't."
612;3033300;3035420;"this was the place."
613;3035420;3037730;"the schoolyard these mountains"
614;3037730;3039230;"even this high school here"
615;3039230;3040790;"i remember it all"
616;3040790;3042740;"there's no way you could."
617;3042740;3046550;"you've gotta know about that disaster three years ago right"
618;3046750;3051050;"hundreds of people died. they died"
619;3051050;3053100;"three years ago"
620;3053100;3055920;"it can't be"
621;3056120;3057940;"there's no way"
622;3057940;3059570;"i mean"
623;3059570;3062250;"i still have the memos she wrote."
624;3079140;3082840;"they're fading."
625;3090830;3095610;"comet tiamat with an orbital period of twelve hundred years"
627;3095610;3099780;"made a close approach to earth three years ago in october."
629;3099780;3103850;"nobody foresaw that its nucleus would split at its perigee."
633;3109790;3114460;"a fragment that broke off of it became a meteor and struck japan."
635;3115710;3119960;"it looks like that day was the same date as the autumn festival."
